'zip_code', 'borough', 'borocode' 
'10471','BX',2
'10470','BX',2
'10466','BX',2
'10467','BX',2
'10475','BX',2
'10464','BX',2
'10469','BX',2
'10468','BX',2
'10458','BX',2
'10462','BX',2
'10453','BX',2
'10465','BX',2
'10461','BX',2
'10457','BX',2
'10460','BX',2
'10452','BX',2
'10456','BX',2
'10472','BX',2
'10459','BX',2
'10451','BX',2
'10473','BX',2
'10474','BX',2
'10455','BX',2
'10454','BX',2
'11213','BK',3
'11212','BK',3
'11225','BK',3
'11218','BK',3
'11226','BK',3
'11219','BK',3
'11210','BK',3
'11230','BK',3
'11204','BK',3
'11222','BK',3
'11237','BK',3
'11206','BK',3
'11251','BK',3
'11201','BK',3
'11205','BK',3
'11208','BK',3
'11207','BK',3
'11217','BK',3
'11238','BK',3
'11215','BK',3
'11231','BK',3
'11232','BK',3
'11203','BK',3
'11239','BK',3
'11236','BK',3
'11220','BK',3
'11234','BK',3
'11209','BK',3
'11228','BK',3
'11229','BK',3
'11214','BK',3
'11223','BK',3
'11235','BK',3
'11224','BK',3
'11221','BK',3
'11216','BK',3
'11233','BK',3
'11211','BK',3
'11693','BK',3
'11249','BK',3
'10463','MN',1
'10034','MN',1
'10033','MN',1
'10040','MN',1
'10032','MN',1
'10031','MN',1
'10039','MN',1
'10030','MN',1
'10027','MN',1
'10037','MN',1
'10024','MN',1
'10026','MN',1
'10048','MN',1
'10025','MN',1
'10029','MN',1
'10128','MN',1
'10023','MN',1
'10028','MN',1
'10021','MN',1
'10044','MN',1
'10018','MN',1
'10020','MN',1
'10017','MN',1
'10001','MN',1
'10011','MN',1
'10016','MN',1
'10010','MN',1
'10014','MN',1
'10003','MN',1
'10002','MN',1
'10009','MN',1
'10012','MN',1
'10013','MN',1
'10007','MN',1
'10038','MN',1
'10006','MN',1
'10005','MN',1
'10004','MN',1
'10280','MN',1
'10055','MN',1
'10019','MN',1
'10111','MN',1
'10153','MN',1
'10154','MN',1
'10152','MN',1
'10115','MN',1
'10022','MN',1
'10065','MN',1
'10075','MN',1
'10069','MN',1
'10281','MN',1
'10282','MN',1
'10279','MN',1
'10165','MN',1
'10168','MN',1
'10105','MN',1
'10118','MN',1
'10176','MN',1
'10170','MN',1
'10112','MN',1
'10122','MN',1
'10107','MN',1
'10103','MN',1
'10174','MN',1
'10166','MN',1
'10169','MN',1
'10167','MN',1
'10177','MN',1
'10172','MN',1
'10171','MN',1
'10270','MN',1
'10104','MN',1
'10271','MN',1
'10110','MN',1
'10175','MN',1
'10151','MN',1
'10173','MN',1
'10178','MN',1
'10121','MN',1
'10123','MN',1
'10106','MN',1
'10158','MN',1
'10041','MN',1
'10120','MN',1
'10278','MN',1
'10155','MN',1
'10043','MN',1
'10081','MN',1
'10096','MN',1
'10097','MN',1
'10196','MN',1
'10275','MN',1
'10265','MN',1
'10045','MN',1
'10047','MN',1
'10080','MN',1
'10203','MN',1
'10259','MN',1
'10260','MN',1
'10285','MN',1
'10286','MN',1
'10035','MN',1
'10036','MN',1
'10162','MN',1
'10119','MN',1
'11436','QN',4
'11357','QN',4
'11356','QN',4
'11359','QN',4
'11360','QN',4
'11105','QN',4
'11363','QN',4
'11354','QN',4
'11102','QN',4
'11370','QN',4
'11358','QN',4
'11362','QN',4
'11369','QN',4
'11103','QN',4
'11106','QN',4
'11368','QN',4
'11377','QN',4
'11355','QN',4
'11101','QN',4
'11364','QN',4
'11005','QN',4
'11104','QN',4
'11109','QN',4
'11367','QN',4
'11378','QN',4
'11385','QN',4
'11412','QN',4
'11411','QN',4
'11413','QN',4
'11422','QN',4
'11420','QN',4
'11417','QN',4
'11430','QN',4
'11691','QN',4
'11096','QN',4
'11692','QN',4
'11694','QN',4
'11697','QN',4
'11372','QN',4
'11004','QN',4
'11040','QN',4
'11424','QN',4
'11426','QN',4
'11365','QN',4
'11001','QN',4
'11375','QN',4
'11427','QN',4
'11374','QN',4
'11366','QN',4
'11423','QN',4
'11428','QN',4
'11432','QN',4
'11379','QN',4
'11429','QN',4
'11435','QN',4
'11415','QN',4
'11418','QN',4
'11433','QN',4
'11451','QN',4
'11421','QN',4
'11419','QN',4
'11434','QN',4
'11416','QN',4
'11373','QN',4
'11371','QN',4
'11361','QN',4
'11414','QN',4
'10301','SI',5
'10303','SI',5
'10302','SI',5
'10304','SI',5
'10314','SI',5
'10305','SI',5
'10306','SI',5
'10308','SI',5
'10312','SI',5
'10309','SI',5
'10307','SI',5
'10310','SI',5
